Feature,Coefficient
Distributor_The H Collective,1.203905496075517
Distributor_Newmarket Films,0.869422303653038
Main_Genre_Sport,0.6981266880809585
Distributor_Primarily Enlight Media,0.6974998112895364
Distributor_China Film Co,0.6738932209819473
Distributor_IFC Films,0.636078732391602
Distributor_FUNimation Entertainment,0.5569693082805813
Distributor_Tianjin Maoyan Media,0.5055541074799603
Distributor_Summit Entertainment,0.4377734556110173
Distributor_The Weinstein Company,0.3130087977966214
Distributor_Fox Searchlight,0.3023866665524464
Distributor_DreamWorks,0.26466449862448105
Distributor_Artisan Entertainment,0.2519740537022013
Distributor_Well Go USA,0.19846085286963894
Main_Genre_Family,0.18775182673869062
Distributor_New Line Cinema,0.1828885218809566
Main_Genre_Adventure,0.17840182189290063
Distributor_Universal Pictures,0.16764218443701578
Main_Genre_History,0.16479076571735307
Distributor_Walt Disney Studios Motion Pictures,0.1580143131408509
Distributor_Alibaba Pictures Group,0.13759729632242212
Distributor_Orion Pictures,0.13054566752992908
Main_Genre_Animation,0.12324185248409741
Distributor_Lionsgate,0.11894994323258201
Main_Genre_Unknown,0.11373941263366641
Distributor_Columbia Pictures,0.10776400229655622
Distributor_Well Go USA Entertainment,0.09135428510650831
Distributor_Neon,0.07639673000285822
Distributor_Gramercy Pictures (I),0.07404509941312604
Distributor_Twentieth Century Fox,0.06930422127105818
Main_Genre_Horror,0.06783175418106682
Distributor_Paramount Pictures,0.05994991318791665
Main_Genre_Mystery,0.0590884887438914
Distributor_UTV Motion Pictures,0.04263687469298355
Distributor_Huanxi Media,0.04236226240785246
Distributor_Warner Bros.,0.03990312003481905
Distributor_Angel Studios,0.028853120493913698
Main_Genre_Action,0.011156318722177525
Running Time,0.005706044192891882
Distributor_Bona Film Group,5.575454320450035e-08
Distributor_Vestron Pictures,4.8409328129439544e-08
Distributor_AMC Theaters,4.3843447261604496e-08
Budget (in $),3.926590604444355e-09
Distributor_Toho,-2.121922171305357e-08
Main_Genre_Romance,-4.17019365150928e-08
Distributor_FilmRise,-4.632122307945963e-08
Distributor_Great India Films,-5.5150169764317525e-08
Release_Month,-0.002783309046740151
Distributor_CMC Pictures,-0.0035803422507579563
Distributor_DreamWorks Distribution,-0.014307632650039759
Distributor_Dimension Films,-0.024019863160829845
Distributor_Sony Pictures Entertainment (SPE),-0.024523628723320423
Main_Genre_Comedy,-0.029804487405325958
Main_Genre_Drama,-0.04275434440647995
Distributor_Magnolia Pictures,-0.04742457619945671
Distributor_TriStar Pictures,-0.0654768299819769
Main_Genre_Sci-Fi,-0.07060934854068196
Distributor_China Lion Film Distribution,-0.07126815001696601
Distributor_HG Entertainment,-0.07557757621937228
Distributor_Primarily Mahua FunAge,-0.09251621378592151
Main_Genre_Documentary,-0.09328316101977213
Distributor_United Artists Releasing,-0.1041764955801853
Distributor_Sony Pictures Classics,-0.11661878204349796
Main_Genre_Crime,-0.11816150580453534
Distributor_Miramax,-0.12135709126294407
Main_Genre_Comefy,-0.12923562640417632
Distributor_Asia Releasing,-0.12923565484608163
Distributor_Screen Gems,-0.1333924500370369
Main_Genre_Musical,-0.15258920075279478
Distributor_Metro-Goldwyn-Mayer (MGM),-0.16806190911020727
Distributor_Tianjin Maoyan Culture Media,-0.17240127821436135
Main_Genre_Fantasy,-0.18615087427475557
Distributor_Focus Features,-0.1955361146882143
Main_Genre_Biography,-0.20769994533054845
Distributor_Crunchyroll,-0.22521744231032076
Distributor_CJ Entertainment,-0.2276846769018378
Distributor_Revolution Studios,-0.24629270075802218
Distributor_RKO Radio Pictures,-0.2537197307748701
Main_Genre_Mustical,-0.26438195173500245
"Distributor_December 13, 2019 (China)",-0.27292361111209656
Distributor_GKIDS,-0.277359905595175
Main_Genre_Thriller,-0.29198742535688843
"Distributor_February 1, 2022 (China)",-0.30310203658270474
"Distributor_December 24, 2020 (China, APAC)",-0.3501420408677411
Distributor_United Artists,-0.35601133504099963
Distributor_Huaxia Film Distribution,-0.37855730192808007
Distributor_USA Films,-0.3801521648997773
Distributor_Relativity Media,-0.44187343008472096
Distributor_STX Entertainment,-0.4674198678428843
"Distributor_September 27, 2018 (Hong Kong)",-0.5973892494024515
Main_Genre_Animated,-0.6015852106114021
Main_Genre_Historical,-0.6702779390421973
Distributor_Newport Entertainment,-0.755685333917605
